,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
108,108,108,29-July-2020,353.1,357.7,348.6,350.95,353.90484957465515,1632205,19359,577645265.0,489946,30.02,9.1,-2.15
109,109,109,28-July-2020,361.4,362.85,343.3,351.9,350.8675163642253,3179955,36347,1115742913.0,867736,27.29,19.55,-9.5
110,110,110,27-July-2020,388.8,388.8,356.65,358.5,365.42579330209014,3633641,58569,1327826145.0,1165294,32.07,32.15,-30.3
111,111,111,24-July-2020,388.2,389.0,372.15,381.85,381.1537088448011,2437511,33707,929066358.0,678191,27.82,16.85,-6.35
112,112,112,23-July-2020,382.7,395.5,378.85,392.3,384.49281771974364,2529698,33569,972650712.0,1375036,54.36,16.65,9.6
113,113,113,22-July-2020,385.8,389.4,375.4,381.1,382.26837656721716,2827065,38590,1080697548.0,1154257,40.83,14.0,-4.7
114,114,114,21-July-2020,370.55,379.9,370.0,378.85,375.0852851514985,1598168,19766,599449300.0,545210,34.11,9.9,8.3
115,115,115,20-July-2020,358.1,366.15,355.5,362.85,362.9086626803474,2214407,30924,803627483.0,741417,33.48,10.65,4.75
116,116,116,17-July-2020,345.5,356.0,345.5,353.85,349.77793412155785,1376596,19449,481502905.0,441126,32.04,10.5,8.35
117,117,117,16-July-2020,347.1,348.45,341.0,344.75,344.65945417890737,707338,9173,243790729.0,134448,19.01,7.45,-2.35
118,118,118,15-July-2020,348.0,356.5,343.8,345.75,351.01136708526434,1294879,21190,454517248.0,353611,27.31,12.7,-2.25
119,119,119,14-July-2020,352.0,352.4,340.8,345.6,346.3796632307712,932508,12266,323001807.0,248461,26.64,11.6,-6.4
120,120,120,13-July-2020,364.6,367.0,352.5,353.55,357.4709045623121,911380,11631,325791833.0,240798,26.42,14.5,-11.05
121,121,121,10-July-2020,364.85,368.2,359.0,360.35,363.0415911678644,1306864,23102,474445986.0,406140,31.08,9.2,-4.5
122,122,122,9-July-2020,373.8,376.05,365.35,370.55,370.6228133323395,1059889,12574,392819043.0,266183,25.11,10.7,-3.25
123,123,123,8-July-2020,378.7,378.95,367.6,368.9,374.55908175102263,1637900,16800,613490320.0,380982,23.26,11.35,-9.8
124,124,124,7-July-2020,362.2,377.6,362.2,375.7,371.34085138531975,1497019,18114,555904310.0,317456,21.21,15.4,13.5
125,125,125,6-July-2020,368.0,368.0,360.65,361.8,362.85755537556787,1050689,12365,381250442.0,269354,25.64,7.35,-6.2
126,126,126,3-July-2020,365.0,368.4,359.85,361.0,363.10242921011553,798737,10055,290023345.0,109152,13.67,8.55,-4.0
127,127,127,2-July-2020,365.1,370.75,361.3,362.7,366.55650615304603,1163245,14614,426395023.0,176788,15.2,9.45,-2.4
128,128,128,1-July-2020,355.0,365.75,351.6,363.95,359.4423561442873,2175826,39889,782084024.0,980216,45.05,14.15,8.95
129,129,129,30-June-2020,346.0,354.35,346.0,351.45,351.3057207318563,1727279,25443,606802994.0,624986,36.18,8.35,5.45
130,130,130,29-June-2020,346.0,346.0,338.5,343.15,341.5519310714148,1086806,13694,371200688.0,229079,21.08,7.5,-2.85
131,131,131,26-June-2020,356.4,358.4,346.1,349.0,351.5598264287661,1858142,23830,653248079.0,389362,20.95,12.3,-7.4
132,132,132,25-June-2020,340.05,355.55,338.55,351.15,348.7514920215605,3128306,38917,1091001385.0,428006,13.68,17.0,11.1
133,133,133,24-June-2020,379.15,380.0,345.0,348.4,361.6111477371995,2071990,28191,749254682.0,656639,31.69,35.0,-30.75
134,134,134,23-June-2020,370.5,378.2,364.1,376.05,370.9211400164448,1801167,26184,668090917.0,567609,31.51,14.1,5.55
135,135,135,22-June-2020,366.0,375.25,365.35,367.8,370.8876621073933,2563347,35360,950713776.0,771271,30.09,9.9,1.8
136,136,136,19-June-2020,351.5,365.2,349.25,363.9,358.6944729731003,2655225,39566,952414532.0,1046879,39.43,15.95,12.4
137,137,137,18-June-2020,340.0,354.55,337.25,352.0,346.3231302451369,1978976,27879,685365163.0,546444,27.61,17.3,12.0
138,138,138,17-June-2020,338.5,350.85,335.9,342.15,344.30317505400774,1394244,17062,480042636.0,206837,14.84,14.95,3.65
139,139,139,16-June-2020,341.6,347.85,326.55,342.8,339.5604748993092,2010363,27112,682639815.0,618767,30.78,21.3,1.2
140,140,140,15-June-2020,341.75,341.75,325.4,330.9,330.8200223757871,1871666,29911,619184588.0,503477,26.9,16.35,-10.85
141,141,141,12-June-2020,323.2,346.1,323.2,344.25,334.97089386117784,1572761,20805,526829158.0,260678,16.57,22.9,21.05
142,142,142,11-June-2020,352.2,354.2,340.1,341.15,345.847302085007,1232322,15484,426195239.0,284667,23.1,14.1,-11.05
143,143,143,10-June-2020,349.0,356.7,345.4,353.4,350.45894259101465,1229912,15018,431033659.0,165156,13.43,11.3,4.4
144,144,144,9-June-2020,360.75,369.1,345.2,348.75,359.55765850798446,1459958,20234,524939080.0,340912,23.35,23.9,-12.0
145,145,145,8-June-2020,365.1,373.85,353.3,360.1,364.00746017101113,1895667,26063,690036930.0,579240,30.56,20.55,-5.0
